n,xm,ym,zm,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
14,3.166670,0.000000,1.000000,-0.193475,0.872568,-0.159953,0.863238,-0.059826,0.844838,-0.105921,0.844082,-0.224300,0.737305
15,2.666670,0.000000,1.000000,-0.293577,0.865211,-0.256850,0.858126,-0.147353,0.831680,-0.203360,0.845052,-0.308063,0.719723
16,3.555560,-0.500000,1.000000,-0.111280,0.743857,-0.083789,0.749321,0.015883,0.726739,-0.028574,0.714715,-0.142150,0.642667
17,4.055560,-0.500000,1.000000,-0.009318,0.749950,0.015681,0.753642,0.108012,0.738856,0.067043,0.713045,-0.059436,0.661110
18,4.055560,0.000000,1.000000,-0.011965,0.884878,0.014616,0.872491,0.104380,0.869393,0.065565,0.841258,-0.075846,0.767634
19,3.555560,0.000000,1.000000,-0.113793,0.878912,-0.083710,0.867745,0.011831,0.856421,-0.030225,0.843219,-0.158158,0.751052
20,4.444440,-0.500000,1.000000,0.071710,0.753619,0.093498,0.756636,0.184325,0.747685,0.141067,0.711862,0.005553,0.673475
21,4.944440,-0.500000,1.000000,0.175389,0.759655,0.194135,0.760618,0.281439,0.759183,0.234744,0.710399,0.086848,0.689851
22,4.944440,0.000000,1.000000,0.172652,0.895146,0.190549,0.879343,0.277660,0.893270,0.232958,0.836467,0.069756,0.795852
23,4.444440,0.000000,1.000000,0.069325,0.890070,0.091882,0.875886,0.180210,0.880285,0.139867,0.839542,-0.011207,0.780440
24,5.333330,-0.500000,1.000000,0.257433,0.762663,0.271870,0.762436,0.360523,0.767961,0.306635,0.708646,0.150026,0.702343
25,5.833330,-0.500000,1.000000,0.361655,0.767539,0.372177,0.765707,0.462803,0.778713,0.397260,0.705866,0.229035,0.718289
26,5.833330,0.000000,1.000000,0.359326,0.903704,0.367245,0.884969,0.459219,0.917356,0.395831,0.830612,0.212076,0.822576
27,5.333330,0.000000,1.000000,0.254548,0.899873,0.267899,0.882703,0.356877,0.903932,0.305137,0.834367,0.132933,0.807989
28,6.222220,-0.500000,1.000000,0.444148,0.769576,0.450012,0.767220,0.545211,0.787220,0.467022,0.703427,0.290654,0.729388
